Data from NQ51A06081_08-29-03-327.txt Node
Date: Tue Dec 18 08:29:03 IST 2018	
User: han3-2
Spectrometer: NQ51A0608
Trigger mode: 0
Integration Time (sec): 4.000000E-2
Scans to average: 20
Nonlinearity correction enabled: false
Boxcar width: 2
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 512
>>>>>Begin Spectral Data<<<<<
1390.71	2309.05
1392.287	2309.53
1393.863	2311.23
1395.44	2310.97
1397.015	2312.26
1398.591	2309.91
1400.167	2309.13
1401.742	2307.63
1403.317	2307.1
1404.891	2305.41
1406.465	2307.15
1408.04	2305.98
1409.613	2310.02
1411.187	2309.14
1412.76	2309.71
1414.333	2308.55
1415.906	2309.56
1417.478	2306.37
1419.05	2307.93
1420.622	2307.66
1422.194	2307.3
1423.765	2307.77
1425.336	2308.34
1426.907	2306.61
1428.477	2306.86
1430.047	2307.77
1431.617	2310.5
1433.187	2309.91
1434.756	2310.58
1436.325	2308.36
1437.894	2308.07
1439.462	2304.65
1441.03	2307.41
1442.598	2308.11
1444.166	2308.21
1445.733	2309.04
1447.3	2309.7
1448.866	2305.85
1450.433	2307.83
1451.999	2310.22
1453.564	2308.9
1455.13	2307.93
1456.695	2309.62
1458.26	2308.19
1459.825	2308
1461.389	2307.37
1462.953	2308.86
1464.516	2308.36
1466.08	2308.43
1467.643	2309.04
1469.205	2310.67
1470.768	2309.38
1472.33	2310.13
1473.892	2309.59
1475.453	2308.88
1477.014	2307.46
1478.575	2308.37
1480.136	2307.96
1481.696	2308.1
1483.256	2308.48
1484.815	2309.04
1486.375	2307.8
1487.934	2307.37
1489.492	2308.3
1491.05	2306.13
1492.608	2304.66
1494.166	2304.63
1495.723	2305.83
1497.28	2307.21
1498.837	2307.5
1500.393	2311.33
1501.95	2312.6
1503.505	2310.54
1505.061	2309.43
1506.616	2309.38
1508.17	2307.03
1509.725	2306.51
1511.279	2307.43
1512.832	2307.18
1514.386	2307.35
1515.939	2307.47
1517.492	2308.3
1519.044	2309.08
1520.596	2307.8
1522.148	2309.36
1523.699	2309.89
1525.25	2308.15
1526.801	2308.22
1528.351	2311.15
1529.901	2310.98
1531.451	2311.01
1533	2311.09
1534.549	2312.1
1536.097	2309.81
1537.646	2309.18
1539.193	2307.87
1540.741	2308.25
1542.288	2307.25
1543.835	2307.5
1545.382	2306.11
1546.928	2306.89
1548.473	2307.15
1550.019	2306.84
1551.564	2306.03
1553.109	2308.59
1554.653	2308.16
1556.197	2309.41
1557.741	2309.31
1559.284	2308.72
1560.827	2307.46
1562.369	2307.58
1563.911	2307.64
1565.453	2307.77
1566.995	2309.7
1568.536	2312.43
1570.076	2312.19
1571.617	2309.14
1573.157	2307.01
1574.696	2307.43
1576.236	2304.12
1577.774	2306.26
1579.313	2308.37
1580.851	2310.1
1582.389	2309.86
1583.926	2309.45
1585.463	2306.9
1587	2307.47
1588.536	2307.22
1590.072	2304.96
1591.607	2305.17
1593.142	2306.41
1594.677	2306.48
1596.211	2305.82
1597.745	2306.43
1599.279	2308.26
1600.812	2308.1
1602.345	2307.11
1603.877	2307.39
1605.409	2307.5
1606.941	2307.68
1608.472	2307.72
1610.003	2307.07
1611.533	2307.18
1613.063	2306.24
1614.593	2305.6
1616.122	2304.88
1617.651	2306.06
1619.179	2306.42
1620.707	2307.62
1622.235	2308.04
1623.762	2307.78
1625.289	2308.25
1626.816	2308.37
1628.342	2308.96
1629.867	2308.57
1631.392	2309.87
1632.917	2309.52
1634.442	2310.03
1635.966	2311.61
1637.489	2312.11
1639.013	2310.83
1640.535	2307.36
1642.058	2307.1
1643.58	2304.92
1645.101	2305.63
1646.622	2305.86
1648.143	2310.55
1649.663	2309.88
1651.183	2312.16
1652.703	2311.66
1654.222	2311.39
1655.741	2310.22
1657.259	2312.27
1658.777	2311.54
1660.294	2311.35
1661.811	2311.32
1663.327	2309.31
1664.844	2308.39
1666.359	2308.06
1667.874	2306.76
1669.389	2308.59
1670.904	2310.3
1672.418	2310.7
1673.931	2308.9
1675.444	2309.56
1676.957	2307.03
1678.469	2304.98
1679.981	2304.1
1681.492	2305.63
1683.003	2307.03
1684.514	2307.24
1686.024	2309.14
1687.533	2308.59
1689.043	2307.12
1690.551	2305.62
1692.06	2306.53
1693.568	2307.4
1695.075	2308.42
1696.582	2310.03
1698.088	2309.29
1699.595	2309.08
1701.1	2306.32
1702.605	2304.85
1704.11	2303.07
1705.614	2302.4
